SUPLIER & ITEMS ,UNIT ,PRICE ,UNIT ,PRICE ,,Monday Thunder Stock,Min Home Stock,Order Amount,,,,
Sourdough,500g, MYR 26.00 ,portion, MYR 2.17 ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
,, MYR -   ,, MYR -   ,,,,,,,,
ANTIPODEAN ,,,,,,,,,,,,
Tomato Pest ,Tin/2.5kg, MYR 47.00 ,, MYR 0.02 ,,,,,,,,
Origano,btl/50gm, MYR 11.00 ,, MYR 0.22 ,,,,,,,,
Whipping Cream ,pkt/1L, MYR 26.00 ,, MYR 0.03 ,,,,,,,,
Black Peper fine course ,pkt/500gm, MYR 38.00 ,, MYR 0.08 ,,,,,,,,
Olive Oil,BTL/1000, MYR 57.00 ,, MYR 0.06 ,,,,,,,,
Parmesan Cheese ,kg/1000, MYR 70.00 ,, MYR 0.07 ,,,,,,,,
Black Peper fine course ,kg/500, MYR 38.00 ,, MYR 0.08 ,,,,,,,,
Conchiglie Pasta ,pkt/500gm, MYR 8.00 ,, MYR 0.02 ,,,,,,,,
Quick Oat,pkt/1kg, MYR 11.10 ,, MYR 0.01 ,,,,,,,,
strawberry,pkt/1kg, MYR 30.00 ,, MYR 0.03 ,,,,,,,,
Blueberry,pkt/400, MYR 13.00 ,, MYR 0.07 ,,,,,,,,
Cinemon Ground ,pkt/500gm, MYR 39.00 ,, MYR 0.08 ,,,,,,,,
Pancake Syrup ,btl/1 L , MYR 17.50 ,, MYR 0.02 ,,,,,,,,
Self Raisin Flour ,kg , MYR 22.50 ,gm , MYR 0.00 ,,,,,,,,
Smoke Salmon,kg , MYR 120.00 ,gm , MYR 0.12 ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
HOCK GUAN ,,,,,,,,,,,,
Lemon ,kg/1000, MYR 9.50 ,slice , MYR 0.01 ,,,,,,,,
Mayonese ,kg, MYR 20.00 ,gm , MYR 0.02 ,,,,,,,,
Red Onion ,kg/1000, MYR 3.50 ,gm , MYR 0.00 ,,,,,,,,
Baby Romaine,kg/1000, MYR 8.50 ,gm , MYR 0.01 ,,,,,,,,
Egg,Tray/30pcs, MYR 15.90 ,PCS , MYR 0.53 ,,,,,,,,
Carrot ,kg , MYR 3.60 ,gm , MYR 0.00 ,,,,,,,,
Betroot ,kg , MYR 7.50 ,gm , MYR 0.01 ,,,,,,,,
Pumpkin ,kg , MYR 4.30 ,gm , MYR 0.00 ,,,,,,,,
Yellow Onion ,kg , MYR 3.30 ,gm , MYR 0.00 ,,,,,,,,
Tomato ,kg , MYR 4.50 ,gm , MYR 0.00 ,,,,,,,,
Japanese Cucumber ,kg , MYR 7.00 ,gm , MYR 0.01 ,,,,,,,,
Avaporated Milk ,Tin , MYR 5.50 ,gm , MYR 0.01 ,,,,,,,,
Condense milk ,Tin, MYR 5.50 ,gm , MYR 0.01 ,,,,,,,,
Mushroom oyster ,500GM, MYR 9.50 ,gm , MYR 0.02 ,,,,,,,,
Spaghetti,pkt, MYR 4.80 ,gm , MYR 0.01 ,,,,,,,,
Garlic,kg, MYR 10.00 ,gm , MYR 0.01 ,,,,,,,,
