Menu Item,Ingredients,Quantity,Unit,Cost Price (MYR),Total Price (MYR),Notes
Yogurt Parfait (Small),Greek Yoghurt,100,gm,0.02,2.00,
,Granola,20,gm,0.01,0.20,
,Honey,10,ml,0.02,0.20,
,Mixed Berries,15,gm,0.07,1.05,
,Container,1,pc,0.50,0.50,
,,,,Cost,MYR 3.95,
,,,,Sale,MYR 6.50,
,,,,COGS %,61%,
,,,,Profit,MYR 2.55,
,,,,,,
Granola Cup,Granola,50,gm,0.01,0.50,
,Farm Milk,150,ml,0.01,1.50,
,Honey,15,ml,0.02,0.30,
,Container,1,pc,0.50,0.50,
,,,,Cost,MYR 2.80,
,,,,Sale,MYR 5.00,
,,,,COGS %,56%,
,,,,Profit,MYR 2.20,
,,,,,,
Hot Cross Bun (Seasonal),Hot Cross Bun,1,pc,2.50,2.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.00,
,,,,Sale,MYR 5.50,
,,,,COGS %,55%,
,,,,Profit,MYR 2.50,
,,,,,,
Sausage Roll,Sausage Roll,1,pc,3.00,3.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.50,
,,,,Sale,MYR 6.00,
,,,,COGS %,58%,
,,,,Profit,MYR 2.50,
,,,,,,
Spinach & Cheese Pasty,Spinach & Cheese Pasty,1,pc,3.20,3.20,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.70,
,,,,Sale,MYR 6.50,
,,,,COGS %,57%,
,,,,Profit,MYR 2.80,
,,,,,,
Mini Quiche (Bacon & Cheese),Mini Quiche,1,pc,3.50,3.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 4.00,
,,,,Sale,MYR 6.50,
,,,,COGS %,62%,
,,,,Profit,MYR 2.50,
,,,,,,
Mini Quiche (Spinach & Feta),Mini Quiche,1,pc,3.20,3.20,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.70,
,,,,Sale,MYR 6.00,
,,,,COGS %,62%,
,,,,Profit,MYR 2.30,
,,,,,,
Bread Roll with Butter,Bread Roll,1,pc,1.50,1.50,
,Butter,15,gm,0.06,0.90,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.90,
,,,,Sale,MYR 4.50,
,,,,COGS %,64%,
,,,,Profit,MYR 1.60,
,,,,,,
Bread Roll with Jam,Bread Roll,1,pc,1.50,1.50,
,Butter,10,gm,0.06,0.60,
,Berry Jam,20,gm,0.03,0.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.10,
,,,,Sale,MYR 5.00,
,,,,COGS %,62%,
,,,,Profit,MYR 1.90,
,,,,,,
Crumpet with Butter,Crumpet,1,pc,1.80,1.80,
,Butter,15,gm,0.06,0.90,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.20,
,,,,Sale,MYR 5.00,
,,,,COGS %,64%,
,,,,Profit,MYR 1.80,
,,,,,,
Crumpet with Honey,Crumpet,1,pc,1.80,1.80,
,Butter,10,gm,0.06,0.60,
,Honey,15,ml,0.02,0.30,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.20,
,,,,Sale,MYR 5.00,
,,,,COGS %,64%,
,,,,Profit,MYR 1.80,
,,,,,,
English Muffin with Butter,English Muffin,1,pc,1.50,1.50,
,Butter,15,gm,0.06,0.90,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.90,
,,,,Sale,MYR 4.50,
,,,,COGS %,64%,
,,,,Profit,MYR 1.60,
,,,,,,
English Muffin with Jam,English Muffin,1,pc,1.50,1.50,
,Butter,10,gm,0.06,0.60,
,Berry Jam,20,gm,0.03,0.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.10,
,,,,Sale,MYR 5.00,
,,,,COGS %,62%,
,,,,Profit,MYR 1.90,
,,,,,,
Bagel with Cream Cheese,Bagel,1,pc,1.50,1.50,
,Cream Cheese,30,gm,0.08,2.40,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 4.40,
,,,,Sale,MYR 6.50,
,,,,COGS %,68%,
,,,,Profit,MYR 2.10,
,,,,,,
Bagel with Butter,Bagel,1,pc,1.50,1.50,
,Butter,15,gm,0.06,0.90,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.90,
,,,,Sale,MYR 5.00,
,,,,COGS %,58%,
,,,,Profit,MYR 2.10,
,,,,,,
Rice Cake with Peanut Butter,Rice Cake,2,pieces,0.50,1.00,
,Peanut Butter,25,gm,0.01,0.25,
,Honey,10,ml,0.02,0.20,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 1.95,
,,,,Sale,MYR 4.00,
,,,,COGS %,49%,
,,,,Profit,MYR 2.05,
,,,,,,
Rice Cake with Avocado,Rice Cake,2,pieces,0.50,1.00,
,Avocado,40,gm,0.08,3.20,
,Salt,1,gm,0.01,0.01,
,Chili Flakes,1,gm,0.00,0.01,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 4.72,
,,,,Sale,MYR 6.50,
,,,,COGS %,73%,
,,,,Profit,MYR 1.78,
,,,,,,
Popcorn (Sweet),Popcorn,1,portion,2.00,2.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.50,
,,,,Sale,MYR 5.00,
,,,,COGS %,50%,
,,,,Profit,MYR 2.50,
,,,,,,
Popcorn (Savory),Popcorn,1,portion,2.00,2.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.50,
,,,,Sale,MYR 5.00,
,,,,COGS %,50%,
,,,,Profit,MYR 2.50,
,,,,,,
Mixed Nuts Pack,Mixed Nuts,40,gm,0.05,2.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.50,
,,,,Sale,MYR 5.00,
,,,,COGS %,50%,
,,,,Profit,MYR 2.50,
,,,,,,
Dried Fruit Mix,Dried Fruit,50,gm,0.04,2.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.50,
,,,,Sale,MYR 5.00,
,,,,COGS %,50%,
,,,,Profit,MYR 2.50,
,,,,,,
Trail Mix,Trail Mix,50,gm,0.05,2.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.00,
,,,,Sale,MYR 5.50,
,,,,COGS %,55%,
,,,,Profit,MYR 2.50,
,,,,,,
Seaweed Snack Pack,Seaweed Snack,1,pack,1.50,1.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.00,
,,,,Sale,MYR 4.00,
,,,,COGS %,50%,
,,,,Profit,MYR 2.00,
,,,,,,
Rice Crackers Pack,Rice Crackers,1,pack,1.80,1.80,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.30,
,,,,Sale,MYR 4.50,
,,,,COGS %,51%,
,,,,Profit,MYR 2.20,
