Menu Item,Ingredients,Quantity,Unit,Cost Price (MYR),Total Price (MYR),Notes
,,,,Profit,MYR 3.34,
,,,,,,
Tomato & Cheese Toastie,Schiacciata Bread,1,pc,2.29,2.29,
,Bega Cheese Slice,2,slice,0.41,0.82,
,Tomato,2,slice,0.25,0.50,
,Butter,5,gm,0.06,0.30,
,Oregano,1,gm,0.22,0.22,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 4.63,
,,,,Sale,MYR 6.90,
,,,,COGS %,67%,
,,,,Profit,MYR 2.27,
,,,,,,
Overnight Oats,Rolled Oats,60,gm,0.01,0.35,
,Farm Milk,100,ml,0.01,1.00,
,Greek Yoghurt,50,gm,0.02,1.00,
,Honey,15,ml,0.02,0.30,
,Mixed Berries,30,gm,0.07,2.10,
,Chia Seeds,10,gm,0.05,0.50,
,Vanilla Extract,2,ml,0.36,0.07,
,Container,1,pc,0.50,0.50,
,,,,Cost,MYR 5.82,
,,,,Sale,MYR 8.50,
,,,,COGS %,68%,
,,,,Profit,MYR 2.68,
,,,,,,
Greek Yogurt Bowl,Greek Yoghurt,200,gm,0.02,4.00,
,Honey,20,ml,0.02,0.40,
,Granola,30,gm,0.01,0.30,
,Mixed Nuts,15,gm,0.05,0.75,
,Mixed Berries,20,gm,0.07,1.40,
,Container,1,pc,0.50,0.50,
,,,,Cost,MYR 7.35,
,,,,Sale,MYR 10.00,
,,,,COGS %,74%,
,,,,Profit,MYR 2.65,
,,,,,,
Chia Pudding,Chia Seeds,40,gm,0.05,2.00,
,Coconut Milk,150,ml,0.01,1.50,
,Vanilla Extract,3,ml,0.36,0.10,
,Honey,15,ml,0.02,0.30,
,Mixed Berries,20,gm,0.07,1.40,
,Container,1,pc,0.50,0.50,
,,,,Cost,MYR 5.80,
,,,,Sale,MYR 9.00,
,,,,COGS %,64%,
,,,,Profit,MYR 3.20,
,,,,,,
Tuna Melt,Schiacciata Bread,1,pc,2.29,2.29,
,Canned Tuna,80,gm,0.02,1.60,
,Bega Cheese Slice,1,slice,0.41,0.41,
,Mayonnaise,20,gm,0.02,0.40,
,Red Onion,10,gm,0.00,0.04,
,Lemon Juice,5,ml,0.01,0.05,
,Butter,5,gm,0.06,0.30,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 5.59,
,,,,Sale,MYR 10.00,
,,,,COGS %,56%,
,,,,Profit,MYR 4.41,
,,,,,,
Smoked Salmon Bagel,Bagel,1,pc,1.50,1.50,
,Smoked Salmon,30,gm,0.12,3.60,
,Cream Cheese,25,gm,0.08,2.00,
,Capers,5,gm,0.10,0.50,
,Red Onion,2,slice,0.10,0.20,
,Dill,2,gm,0.10,0.20,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 8.50,
,,,,Sale,MYR 12.00,
,,,,COGS %,71%,
,,,,Profit,MYR 3.50,
,,,,,,
Banana Bread Slice,Banana Bread,1,slice,2.50,2.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.00,
,,,,Sale,MYR 6.00,
,,,,COGS %,50%,
,,,,Profit,MYR 3.00,
,,,,,,
Blueberry Muffin,Blueberry Muffin,1,pc,2.50,2.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.00,
,,,,Sale,MYR 6.00,
,,,,COGS %,50%,
,,,,Profit,MYR 3.00,
,,,,,,
Butter Croissant,Butter Croissant,1,pc,2.00,2.00,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 2.50,
,,,,Sale,MYR 5.00,
,,,,COGS %,50%,
,,,,Profit,MYR 2.50,
,,,,,,
Egg Mayo Sandwich,Thunder Sandwich Bread,2,slice,0.63,1.26,
,Egg,2,pc,0.53,1.06,
,Mayonnaise,20,gm,0.02,0.40,
,Salt,2,gm,0.01,0.02,
,Pepper,1,gm,0.08,0.08,
,Lettuce,1,leaf,0.30,0.30,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.62,
,,,,Sale,MYR 6.50,
,,,,COGS %,56%,
,,,,Profit,MYR 2.88,
,,,,,,
Chicken & Cheese Panini,Schiacciata Bread,1,pc,2.29,2.29,
,Grilled Chicken Breast,60,gm,0.02,1.20,
,Bega Cheese Slice,2,slice,0.41,0.82,
,Tomato,2,slice,0.25,0.50,
,Pesto,10,gm,0.02,0.20,
,Butter,5,gm,0.06,0.30,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 5.81,
,,,,Sale,MYR 11.00,
,,,,COGS %,53%,
,,,,Profit,MYR 5.19,
,,,,,,
Breakfast Burrito,Flour Tortilla,1,pc,0.80,0.80,
,Egg,2,pc,0.53,1.06,
,Baked Beans,50,gm,0.03,1.50,
,Bega Cheese Slice,1,slice,0.41,0.41,
,Salsa,30,gm,0.05,1.50,
,Avocado,30,gm,0.08,2.40,
,Sour Cream,15,gm,0.03,0.45,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 8.62,
,,,,Sale,MYR 9.50,
,,,,COGS %,91%,
,,,,Profit,MYR 0.88,
,,,,,,
French Toast (2 slices),Brioche Bread,2,slice,2.08,4.16,
,Egg,1,pc,0.53,0.53,
,Milk,50,ml,0.01,0.50,
,Butter,10,gm,0.06,0.60,
,Cinnamon,2,gm,0.08,0.16,
,Pancake Syrup,20,ml,0.02,0.40,
,Sugar,10,gm,0.00,0.05,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 6.90,
,,,,Sale,MYR 10.00,
,,,,COGS %,69%,
,,,,Profit,MYR 3.10,
,,,,,,
Pumpkin Soup (bowl + bread),Pumpkin,150,gm,0.00,0.60,
,Cream,50,ml,0.03,1.50,
,Chicken Stock,100,ml,0.01,1.00,
,Onion,30,gm,0.00,0.10,
,Garlic,5,gm,0.01,0.05,
,Butter,10,gm,0.06,0.60,
,Spices,2,gm,0.10,0.20,
,Schiacciata Bread,1,pc,2.29,2.29,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 6.84,
,,,,Sale,MYR 9.00,
,,,,COGS %,76%,
,,,,Profit,MYR 2.16,
,,,,,,
Chicken Rice Box,Rice,200,gm,0.01,1.50,
,Grilled Chicken Breast,100,gm,0.02,2.00,
,Cucumber,30,gm,0.01,0.30,
,Soy Sauce,15,ml,0.01,0.15,
,Sesame Oil,5,ml,0.02,0.10,
,Garlic,3,gm,0.01,0.03,
,Ginger,5,gm,0.01,0.05,
,Soup,50,ml,0.01,0.50,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 5.13,
,,,,Sale,MYR 12.00,
,,,,COGS %,43%,
,,,,Profit,MYR 6.87,
,,,,,,
Basil Pesto Pasta,Pasta,100,gm,0.02,2.00,
,Basil Pesto,50,gm,0.02,1.00,
,Parmesan Cheese,20,gm,0.07,1.40,
,Pine Nuts,10,gm,0.06,0.60,
,Olive Oil,10,ml,0.06,0.60,
,Salt,2,gm,0.01,0.02,
,Pepper,1,gm,0.08,0.08,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 6.20,
,,,,Sale,MYR 18.00,
,,,,COGS %,34%,
,,,,Profit,MYR 11.80,
,,,,,,
Carbonara,Pasta,100,gm,0.02,2.00,
,Egg,2,pc,0.53,1.06,
,Bacon,50,gm,0.05,2.50,
,Cream,80,ml,0.03,2.40,
,Parmesan Cheese,30,gm,0.07,2.10,
,Black Pepper,2,gm,0.08,0.16,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 10.72,
,,,,Sale,MYR 22.00,
,,,,COGS %,49%,
,,,,Profit,MYR 11.28,
,,,,,,
Caesar Salad,Romaine Lettuce,100,gm,0.01,0.80,
,Caesar Dressing,30,ml,0.03,0.90,
,Croutons,20,gm,0.02,0.40,
,Parmesan Cheese,15,gm,0.07,1.05,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 3.65,
,,,,Sale,MYR 12.00,
,,,,COGS %,30%,
,,,,Profit,MYR 8.35,
,,,,,,
Caesar Salad with Chicken,Romaine Lettuce,100,gm,0.01,0.80,
,Caesar Dressing,30,ml,0.03,0.90,
,Croutons,20,gm,0.02,0.40,
,Parmesan Cheese,15,gm,0.07,1.05,
,Grilled Chicken Breast,80,gm,0.02,1.60,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 5.25,
,,,,Sale,MYR 16.00,
,,,,COGS %,33%,
,,,,Profit,MYR 10.75,
,,,,,,
Nasi Lemak Bungkus,Rice,150,gm,0.01,1.00,
,Sambal,30,gm,0.03,0.90,
,Anchovies,10,gm,0.05,0.50,
,Egg,0.5,pc,0.53,0.27,
,Peanuts,15,gm,0.03,0.45,
,Cucumber,30,gm,0.01,0.30,
,Banana Leaf,1,pc,0.30,0.30,
,Packaging,1,pc,0.50,0.50,
,,,,Cost,MYR 4.22,
,,,,Sale,MYR 8.00,
,,,,COGS %,53%,
,,,,Profit,MYR 3.78,
,,,,,,
Iced Latte,Espresso,2,shot,0.40,0.80,
,Farm Milk,200,ml,0.01,2.00,
,Ice,100,gm,0.00,0.00,
,Plastic Cup,1,pc,0.27,0.27,
,Plastic Lid,1,pc,0.12,0.12,
,Paper Straw,1,pc,0.06,0.06,
,,,,Cost,MYR 3.25,
,,,,Sale,MYR 9.00,
,,,,COGS %,36%,
,,,,Profit,MYR 5.75,
,,,,,,
Iced Americano,Espresso,2,shot,0.40,0.80,
,Water,200,ml,0.00,0.00,
,Ice,100,gm,0.00,0.00,
